database,table,processed_database,processed_table,database_and_table
academic,author,academic,author,academic author
academic,conference,academic,conference,academic conference
academic,domain,academic,domain,academic domain
academic,domain_author,academic,domain author,academic domain author
academic,domain_conference,academic,domain conference,academic domain conference
academic,journal,academic,journal,academic journal
academic,domain_journal,academic,domain journal,academic domain journal
academic,keyword,academic,keyword,academic keyword
academic,domain_keyword,academic,domain keyword,academic domain keyword
academic,publication,academic,publication,academic publication
academic,domain_publication,academic,domain publication,academic domain publication
academic,organization,academic,organization,academic organization
academic,publication_keyword,academic,publication keyword,academic publication keyword
academic,writes,academic,writes,academic writes
academic,cite,academic,cite,academic cite
activity_1,Activity,activity 1,Activity,activity 1 Activity
activity_1,Participates_in,activity 1,Participates in,activity 1 Participates in
activity_1,Faculty_Participates_in,activity 1,Faculty Participates in,activity 1 Faculty Participates in
activity_1,Student,activity 1,Student,activity 1 Student
activity_1,Faculty,activity 1,Faculty,activity 1 Faculty
aircraft,pilot,aircraft,pilot,aircraft pilot
aircraft,aircraft,aircraft,aircraft,aircraft aircraft
aircraft,match,aircraft,match,aircraft match
aircraft,airport,aircraft,airport,aircraft airport
aircraft,airport_aircraft,aircraft,airport aircraft,aircraft airport aircraft
allergy_1,Allergy_Type,allergy 1,Allergy Type,allergy 1 Allergy Type
allergy_1,Has_Allergy,allergy 1,Has Allergy,allergy 1 Has Allergy
allergy_1,Student,allergy 1,Student,allergy 1 Student
apartment_rentals,Apartment_Buildings,apartment rentals,Apartment Buildings,apartment rentals Apartment Buildings
apartment_rentals,Apartments,apartment rentals,Apartments,apartment rentals Apartments
apartment_rentals,Apartment_Facilities,apartment rentals,Apartment Facilities,apartment rentals Apartment Facilities
apartment_rentals,Guests,apartment rentals,Guests,apartment rentals Guests
apartment_rentals,Apartment_Bookings,apartment rentals,Apartment Bookings,apartment rentals Apartment Bookings
apartment_rentals,View_Unit_Status,apartment rentals,View Unit Status,apartment rentals View Unit Status
architecture,architect,architecture,architect,architecture architect
architecture,bridge,architecture,bridge,architecture bridge
architecture,mill,architecture,mill,architecture mill
assets_maintenance,Third_Party_Companies,assets maintenance,Third Party Companies,assets maintenance Third Party Companies
assets_maintenance,Maintenance_Contracts,assets maintenance,Maintenance Contracts,assets maintenance Maintenance Contracts
assets_maintenance,Parts,assets maintenance,Parts,assets maintenance Parts
assets_maintenance,Skills,assets maintenance,Skills,assets maintenance Skills
assets_maintenance,Staff,assets maintenance,Staff,assets maintenance Staff
assets_maintenance,Assets,assets maintenance,Assets,assets maintenance Assets
assets_maintenance,Asset_Parts,assets maintenance,Asset Parts,assets maintenance Asset Parts
assets_maintenance,Maintenance_Engineers,assets maintenance,Maintenance Engineers,assets maintenance Maintenance Engineers
