question,entities_for_tables,entities_for_columns,query,tables,entities
How many heads of the departments are older than 56 ?,['departments'],"['heads', 'age']",SELECT count(*) FROM head WHERE age  >  56,['head'],"['departments', 'heads', 'age']"
"List the name, born state and age of the heads of departments ordered by age.",['heads of departments'],"['name', 'born state', 'age']","SELECT name ,  born_state ,  age FROM head ORDER BY age",['head'],"['heads of departments', 'name', 'born state', 'age']"
"List the creation year, name and budget of each department.",['department'],"['creation year', 'name', 'budget']","SELECT creation ,  name ,  budget_in_billions FROM department",['department'],"['department', 'creation year', 'name', 'budget']"
What are the maximum and minimum budget of the departments?,['departments'],"['budget', 'maximum', 'minimum']","SELECT max(budget_in_billions) ,  min(budget_in_billions) FROM department",['department'],"['departments', 'budget', 'maximum', 'minimum']"
What is the average number of employees of the departments whose rank is between 10 and 15?,['departments'],"['employees', 'rank']",SELECT avg(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,['department'],"['departments', 'employees', 'rank']"
What are the names of the heads who are born outside the California state?,['heads'],"['names', 'born', 'California state']",SELECT name FROM head WHERE born_state != 'California',['head'],"['heads', 'names', 'born', 'California state']"
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,"['departments', 'secretary']","['creation years', 'managed by', 'born', 'state', 'Alabama']",SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T3.born_state  =  'Alabama',"['department', 'management', 'head']","['departments', 'secretary', 'creation years', 'managed by', 'born', 'state', 'Alabama']"
What are the names of the states where at least 3 heads were born?,"['states', 'heads']","['names', 'born']",SELECT born_state FROM head GROUP BY born_state HAVING count(*)  >=  3,['head'],"['states', 'heads', 'names', 'born']"
In which year were most departments established?,['departments'],"['year', 'established']",SELECT creation FROM department GROUP BY creation ORDER BY count(*) DESC LIMIT 1,['department'],"['departments', 'year', 'established']"
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"['departments', 'employees']","['name', 'number of employees', 'heads', 'temporary acting']","SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'","['department', 'management']","['departments', 'employees', 'name', 'number of employees', 'heads', 'temporary acting']"
How many acting statuses are there?,['acting statuses'],['count'],SELECT count(DISTINCT temporary_acting) FROM management,['management'],"['acting statuses', 'count']"
How many departments are led by heads who are not mentioned?,['departments'],['heads'],SELECT count(*) FROM department WHERE department_id NOT IN (SELECT department_id FROM management);,"['department', 'management']","['departments', 'heads']"
What are the distinct ages of the heads who are acting?,['heads'],"['ages', 'acting']",SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',"['head', 'management']","['heads', 'ages', 'acting']"
List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,['states'],"['secretary', 'Treasury', 'Homeland Security', 'born']",SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Treasury' INTERSECT SELECT T3.born_state FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id JOIN head AS T3 ON T2.head_id  =  T3.head_id WHERE T1.name  =  'Homeland Security',"['department', 'management', 'head']","['states', 'secretary', 'Treasury', 'Homeland Security', 'born']"
